index,full,casewords,wsw,nopunc,text_lemmatized,final,fullnopunc,label
1386,Two old women sat near the scenery that they enjoyed,two old women sat near the scenery that they enjoyed,two old women sat near scenery enjoyed,two old women sat near scenery enjoyed,"['two', 'old', 'woman', 'sat', 'near', 'scenery', 'enjoyed']",two old woman sat near scenery enjoyed,Two old women sat near the scenery that they enjoyed,neutral
1387,A man is at his sisters party.,a man is at his sisters party.,man sisters party.,man sisters party,"['man', 'sister', 'party']",man sister party,A man is at his sisters party,neutral
1388,A man competes in a long distance run.,a man competes in a long distance run.,man competes long distance run.,man competes long distance run,"['man', 'competes', 'long', 'distance', 'run']",man competes long distance run,A man competes in a long distance run,neutral
1389,A guy is looking over the side of a building with someone else.,a guy is looking over the side of a building with someone else.,guy looking side building someone else.,guy looking side building someone else,"['guy', 'looking', 'side', 'building', 'someone', 'else']",guy looking side building someone else,A guy is looking over the side of a building with someone else,entailment
1390,Two young girls are jumping outside.,two young girls are jumping outside.,two young girls jumping outside.,two young girls jumping outside,"['two', 'young', 'girl', 'jumping', 'outside']",two young girl jumping outside,Two young girls are jumping outside,entailment
1391,The man is cleaning off his car.,the man is cleaning off his car.,man cleaning car.,man cleaning car,"['man', 'cleaning', 'car']",man cleaning car,The man is cleaning off his car,entailment
1392,Two people are shielded by paperbacks.,two people are shielded by paperbacks.,two people shielded paperbacks.,two people shielded paperbacks,"['two', 'people', 'shielded', 'paperback']",two people shielded paperback,Two people are shielded by paperbacks,neutral
1393,The dog enjoys the snow.,the dog enjoys the snow.,dog enjoys snow.,dog enjoys snow,"['dog', 'enjoys', 'snow']",dog enjoys snow,The dog enjoys the snow,entailment
1394,The dog is running with a ball in its mouth.,the dog is running with a ball in its mouth.,dog running ball mouth.,dog running ball mouth,"['dog', 'running', 'ball', 'mouth']",dog running ball mouth,The dog is running with a ball in its mouth,neutral
1395,The dog is chasing after a rolling tennis ball.,the dog is chasing after a rolling tennis ball.,dog chasing rolling tennis ball.,dog chasing rolling tennis ball,"['dog', 'chasing', 'rolling', 'tennis', 'ball']",dog chasing rolling tennis ball,The dog is chasing after a rolling tennis ball,contradiction
1396,A small child dressed for winter stares across a floating lake while leaning on a mesh fence,a small child dressed for winter stares across a floating lake while leaning on a mesh fence,small child dressed winter stares across floating lake leaning mesh fence,small child dressed winter stares across floating lake leaning mesh fence,"['small', 'child', 'dressed', 'winter', 'stare', 'across', 'floating', 'lake', 'leaning', 'mesh', 'fence']",small child dressed winter stare across floating lake leaning mesh fence,A small child dressed for winter stares across a floating lake while leaning on a mesh fence,entailment
1397,A small child dressed for winter stares across a large lake while leaning on a mesh fence,a small child dressed for winter stares across a large lake while leaning on a mesh fence,small child dressed winter stares across large lake leaning mesh fence,small child dressed winter stares across large lake leaning mesh fence,"['small', 'child', 'dressed', 'winter', 'stare', 'across', 'large', 'lake', 'leaning', 'mesh', 'fence']",small child dressed winter stare across large lake leaning mesh fence,A small child dressed for winter stares across a large lake while leaning on a mesh fence,entailment
1398,An old elephant in a pink polo looks through a telescope with a small child standing next to him,an old elephant in a pink polo looks through a telescope with a small child standing next to him,old elephant pink polo looks telescope small child standing next,old elephant pink polo looks telescope small child standing next,"['old', 'elephant', 'pink', 'polo', 'look', 'telescope', 'small', 'child', 'standing', 'next']",old elephant pink polo look telescope small child standing next,An old elephant in a pink polo looks through a telescope with a small child standing next to him,contradiction
1399,Dogs are digging a hole.,dogs are digging a hole.,dogs digging hole.,dogs digging hole,"['dog', 'digging', 'hole']",dog digging hole,Dogs are digging a hole,entailment
1400,The animal is walking through a forest.,the animal is walking through a forest.,animal walking forest.,animal walking forest,"['animal', 'walking', 'forest']",animal walking forest,The animal is walking through a forest,neutral
1401,An officer driving down a street.,an officer driving down a street.,officer driving street.,officer driving street,"['officer', 'driving', 'street']",officer driving street,An officer driving down a street,neutral
1402,Two trains of different sizes but following each other side by side going to opposing directions.,two trains of different sizes but following each other side by side going to opposing directions.,two trains different sizes following side side going opposing directions.,two trains different sizes following side side going opposing directions,"['two', 'train', 'different', 'size', 'following', 'side', 'side', 'going', 'opposing', 'direction']",two train different size following side side going opposing direction,Two trains of different sizes but following each other side by side going to opposing directions,neutral
1403,A man is riding a tiny train and sees another man on a different train.,a man is riding a tiny train and sees another man on a different train.,man riding tiny train sees another man different train.,man riding tiny train sees another man different train,"['man', 'riding', 'tiny', 'train', 'see', 'another', 'man', 'different', 'train']",man riding tiny train see another man different train,A man is riding a tiny train and sees another man on a different train,entailment
1404,man in suit,man in suit,man suit,man suit,"['man', 'suit']",man suit,man in suit,contradiction
1405,man on lunch break,man on lunch break,man lunch break,man lunch break,"['man', 'lunch', 'break']",man lunch break,man on lunch break,contradiction
1406,A woman was indoors before walking outside.,a woman was indoors before walking outside.,woman indoors walking outside.,woman indoors walking outside,"['woman', 'indoors', 'walking', 'outside']",woman indoors walking outside,A woman was indoors before walking outside,entailment
1407,A man is taking a picture of a school of whales in Hawaii.,a man is taking a picture of a school of whales in hawaii.,man taking picture school whales hawaii.,man taking picture school whales hawaii,"['man', 'taking', 'picture', 'school', 'whale', 'hawaii']",man taking picture school whale hawaii,A man is taking a picture of a school of whales in Hawaii,neutral
1408,A man is using a camera.,a man is using a camera.,man using camera.,man using camera,"['man', 'using', 'camera']",man using camera,A man is using a camera,entailment
1409,A man is working indoors.,a man is working indoors.,man working indoors.,man working indoors,"['man', 'working', 'indoors']",man working indoors,A man is working indoors,neutral
1410,A raven haired woman is seen by the crowd holding a white opened umbrella.,a raven haired woman is seen by the crowd holding a white opened umbrella.,raven haired woman seen crowd holding white opened umbrella.,raven haired woman seen crowd holding white opened umbrella,"['raven', 'haired', 'woman', 'seen', 'crowd', 'holding', 'white', 'opened', 'umbrella']",raven haired woman seen crowd holding white opened umbrella,A raven haired woman is seen by the crowd holding a white opened umbrella,entailment
1411,The dark haired girl is making a scene amoungst the crowd for hitting people with her umbrella.,the dark haired girl is making a scene amoungst the crowd for hitting people with her umbrella.,dark haired girl making scene amoungst crowd hitting people umbrella.,dark haired girl making scene amoungst crowd hitting people umbrella,"['dark', 'haired', 'girl', 'making', 'scene', 'amoungst', 'crowd', 'hitting', 'people', 'umbrella']",dark haired girl making scene amoungst crowd hitting people umbrella,The dark haired girl is making a scene amoungst the crowd for hitting people with her umbrella,contradiction
1412,A man is mad at the woman,a man is mad at the woman,man mad woman,man mad woman,"['man', 'mad', 'woman']",man mad woman,A man is mad at the woman,neutral
1413,A girl is following her parents on a wheelchair.,a girl is following her parents on a wheelchair.,girl following parents wheelchair.,girl following parents wheelchair,"['girl', 'following', 'parent', 'wheelchair']",girl following parent wheelchair,A girl is following her parents on a wheelchair,neutral
1414,The woman hits a ball.,the woman hits a ball.,woman hits ball.,woman hits ball,"['woman', 'hit', 'ball']",woman hit ball,The woman hits a ball,entailment
1415,The girl hits the ball to her coach.,the girl hits the ball to her coach.,girl hits ball coach.,girl hits ball coach,"['girl', 'hit', 'ball', 'coach']",girl hit ball coach,The girl hits the ball to her coach,neutral
1416,The man performed in front of his own house.,the man performed in front of his own house.,man performed front house.,man performed front house,"['man', 'performed', 'front', 'house']",man performed front house,The man performed in front of his own house,neutral
1417,a dog chases his tail,a dog chases his tail,dog chases tail,dog chases tail,"['dog', 'chase', 'tail']",dog chase tail,a dog chases his tail,contradiction
1418,girl plays in park,girl plays in park,girl plays park,girl plays park,"['girl', 'play', 'park']",girl play park,girl plays in park,neutral
1419,Four people are standing up.,four people are standing up.,four people standing up.,four people standing up,"['four', 'people', 'standing', 'up']",four people standing up,Four people are standing up,entailment
1420,A older man and toddler playfully splash each other while in water,a older man and toddler playfully splash each other while in water,older man toddler playfully splash water,older man toddler playfully splash water,"['older', 'man', 'toddler', 'playfully', 'splash', 'water']",older man toddler playfully splash water,A older man and toddler playfully splash each other while in water,neutral
1421,A man is talking to others.,a man is talking to others.,man talking others.,man talking others,"['man', 'talking', 'others']",man talking others,A man is talking to others,contradiction
1422,The man is 100 years old,the man is 100 years old,man 100 years old,man 100 years old,"['man', '100', 'year', 'old']",man 100 year old,The man is 100 years old,neutral
1423,The men are preparing to siege a castle.,the men are preparing to siege a castle.,men preparing siege castle.,men preparing siege castle,"['men', 'preparing', 'siege', 'castle']",men preparing siege castle,The men are preparing to siege a castle,neutral
1424,The men are in the woods.,the men are in the woods.,men woods.,men woods,"['men', 'wood']",men wood,The men are in the woods,entailment
1425,The woman is wearing black shorts.,the woman is wearing black shorts.,woman wearing black shorts.,woman wearing black shorts,"['woman', 'wearing', 'black', 'short']",woman wearing black short,The woman is wearing black shorts,neutral
1426,A person waves at the camera.,a person waves at the camera.,person waves camera.,person waves camera,"['person', 'wave', 'camera']",person wave camera,A person waves at the camera,contradiction
1427,Two guys kidnap a woman.,two guys kidnap a woman.,two guys kidnap woman.,two guys kidnap woman,"['two', 'guy', 'kidnap', 'woman']",two guy kidnap woman,Two guys kidnap a woman,contradiction
1428,"A man and a pair of women are walking down a wooden path, with the man is pushing a young child in a three wheel carriage.","a man and a pair of women are walking down a wooden path, with the man is pushing a young child in a three wheel carriage.","man pair women walking wooden path, man pushing young child three wheel carriage.",man pair women walking wooden path man pushing young child three wheel carriage,"['man', 'pair', 'woman', 'walking', 'wooden', 'path', 'man', 'pushing', 'young', 'child', 'three', 'wheel', 'carriage']",man pair woman walking wooden path man pushing young child three wheel carriage,A man and a pair of women are walking down a wooden path with the man is pushing a young child in a three wheel carriage,entailment
1429,A taxi driver with gray hair next to a green and yellow taxi.,a taxi driver with gray hair next to a green and yellow taxi.,taxi driver gray hair next green yellow taxi.,taxi driver gray hair next green yellow taxi,"['taxi', 'driver', 'gray', 'hair', 'next', 'green', 'yellow', 'taxi']",taxi driver gray hair next green yellow taxi,A taxi driver with gray hair next to a green and yellow taxi,neutral
1430,the children are singing at home,the children are singing at home,children singing home,children singing home,"['child', 'singing', 'home']",child singing home,the children are singing at home,contradiction
1431,A couple of young people hanging out.,a couple of young people hanging out.,couple young people hanging out.,couple young people hanging out,"['couple', 'young', 'people', 'hanging', 'out']",couple young people hanging out,A couple of young people hanging out,neutral
1432,Two adults on a seesaw.,two adults on a seesaw.,two adults seesaw.,two adults seesaw,"['two', 'adult', 'seesaw']",two adult seesaw,Two adults on a seesaw,entailment
1433,The young men are in complete agreement.,the young men are in complete agreement.,young men complete agreement.,young men complete agreement,"['young', 'men', 'complete', 'agreement']",young men complete agreement,The young men are in complete agreement,contradiction
1434,Young men are arguing.,young men are arguing.,young men arguing.,young men arguing,"['young', 'men', 'arguing']",young men arguing,Young men are arguing,entailment
1435,A woman wearing a blue scarf is working at a factory.,a woman wearing a blue scarf is working at a factory.,woman wearing blue scarf working factory.,woman wearing blue scarf working factory,"['woman', 'wearing', 'blue', 'scarf', 'working', 'factory']",woman wearing blue scarf working factory,A woman wearing a blue scarf is working at a factory,contradiction
1436,John McCain is talking about politics.,john mccain is talking about politics.,john mccain talking politics.,john mccain talking politics,"['john', 'mccain', 'talking', 'politics']",john mccain talking politics,John McCain is talking about politics,neutral
1437,John McCain is hosting a talk show.,john mccain is hosting a talk show.,john mccain hosting talk show.,john mccain hosting talk show,"['john', 'mccain', 'hosting', 'talk', 'show']",john mccain hosting talk show,John McCain is hosting a talk show,contradiction
1438,A man in a coat takes a stroll outdoors.,a man in a coat takes a stroll outdoors.,man coat takes stroll outdoors.,man coat takes stroll outdoors,"['man', 'coat', 'take', 'stroll', 'outdoors']",man coat take stroll outdoors,A man in a coat takes a stroll outdoors,entailment
1439,A child notices his mom taking a picture.,a child notices his mom taking a picture.,child notices mom taking picture.,child notices mom taking picture,"['child', 'notice', 'mom', 'taking', 'picture']",child notice mom taking picture,A child notices his mom taking a picture,contradiction
1440,Three people enjoying the great outdoors.,three people enjoying the great outdoors.,three people enjoying great outdoors.,three people enjoying great outdoors,"['three', 'people', 'enjoying', 'great', 'outdoors']",three people enjoying great outdoors,Three people enjoying the great outdoors,neutral
1441,Two people standing.,two people standing.,two people standing.,two people standing,"['two', 'people', 'standing']",two people standing,Two people standing,neutral
1442,Kids are splashing around in a fountain.,kids are splashing around in a fountain.,kids splashing around fountain.,kids splashing around fountain,"['kid', 'splashing', 'around', 'fountain']",kid splashing around fountain,Kids are splashing around in a fountain,entailment
1443,Man parachutes off a cliff with a scenic view.,man parachutes off a cliff with a scenic view.,man parachutes cliff scenic view.,man parachutes cliff scenic view,"['man', 'parachute', 'cliff', 'scenic', 'view']",man parachute cliff scenic view,Man parachutes off a cliff with a scenic view,neutral
1444,A young woman stands near a stove.,a young woman stands near a stove.,young woman stands near stove.,young woman stands near stove,"['young', 'woman', 'stand', 'near', 'stove']",young woman stand near stove,A young woman stands near a stove,entailment
1445,They are hanging out with Mr. Rogers.,they are hanging out with mr. rogers.,hanging mr. rogers.,hanging mr rogers,"['hanging', 'mr', 'rogers']",hanging mr rogers,They are hanging out with Mr Rogers,contradiction
1446,The men are working on something.,the men are working on something.,men working something.,men working something,"['men', 'working', 'something']",men working something,The men are working on something,entailment
1447,A girl has tripped and fallen into a pile of raked leaves.,a girl has tripped and fallen into a pile of raked leaves.,girl tripped fallen pile raked leaves.,girl tripped fallen pile raked leaves,"['girl', 'tripped', 'fallen', 'pile', 'raked', 'leaf']",girl tripped fallen pile raked leaf,A girl has tripped and fallen into a pile of raked leaves,contradiction
1448,Two sisters are hugging after not seeing each other in ages.,two sisters are hugging after not seeing each other in ages.,two sisters hugging seeing ages.,two sisters hugging seeing ages,"['two', 'sister', 'hugging', 'seeing', 'age']",two sister hugging seeing age,Two sisters are hugging after not seeing each other in ages,neutral
1449,Hiking pace along rough terrain.,hiking pace along rough terrain.,hiking pace along rough terrain.,hiking pace along rough terrain,"['hiking', 'pace', 'along', 'rough', 'terrain']",hiking pace along rough terrain,Hiking pace along rough terrain,entailment
1450,People are listening to mariachi music,people are listening to mariachi music,people listening mariachi music,people listening mariachi music,"['people', 'listening', 'mariachi', 'music']",people listening mariachi music,People are listening to mariachi music,neutral
1451,The girl is putting water in the pot.,the girl is putting water in the pot.,girl putting water pot.,girl putting water pot,"['girl', 'putting', 'water', 'pot']",girl putting water pot,The girl is putting water in the pot,contradiction
1452,Some people have gone to the woods for training.,some people have gone to the woods for training.,people gone woods training.,people gone woods training,"['people', 'gone', 'wood', 'training']",people gone wood training,Some people have gone to the woods for training,neutral
1453,Fiesta time!,fiesta time!,fiesta time!,fiesta time!,"['fiesta', 'time!']",fiesta time!,Fiesta time!,entailment
1454,Mourners toast their lost loved ones.,mourners toast their lost loved ones.,mourners toast lost loved ones.,mourners toast lost loved ones,"['mourner', 'toast', 'lost', 'loved', 'one']",mourner toast lost loved one,Mourners toast their lost loved ones,contradiction
1455,A woman is in a bowling alley.,a woman is in a bowling alley.,woman bowling alley.,woman bowling alley,"['woman', 'bowling', 'alley']",woman bowling alley,A woman is in a bowling alley,neutral
1456,A woman sits on a rug next to a boy who is looking at a gameboard.,a woman sits on a rug next to a boy who is looking at a gameboard.,woman sits rug next boy looking gameboard.,woman sits rug next boy looking gameboard,"['woman', 'sits', 'rug', 'next', 'boy', 'looking', 'gameboard']",woman sits rug next boy looking gameboard,A woman sits on a rug next to a boy who is looking at a gameboard,entailment
1457,Two elderly men cat calling at a woman.,two elderly men cat calling at a woman.,two elderly men cat calling woman.,two elderly men cat calling woman,"['two', 'elderly', 'men', 'cat', 'calling', 'woman']",two elderly men cat calling woman,Two elderly men cat calling at a woman,neutral
1458,A black dog found a ball in the water and is bring it back to its owner.,a black dog found a ball in the water and is bring it back to its owner.,black dog found ball water bring back owner.,black dog found ball water bring back owner,"['black', 'dog', 'found', 'ball', 'water', 'bring', 'back', 'owner']",black dog found ball water bring back owner,A black dog found a ball in the water and is bring it back to its owner,entailment
1459,A young boy is honoring fallen veterans.,a young boy is honoring fallen veterans.,young boy honoring fallen veterans.,young boy honoring fallen veterans,"['young', 'boy', 'honoring', 'fallen', 'veteran']",young boy honoring fallen veteran,A young boy is honoring fallen veterans,entailment
1460,It is snowy outside.,it is snowy outside.,snowy outside.,snowy outside,"['snowy', 'outside']",snowy outside,It is snowy outside,neutral
1461,The Samoyads are wrestling.,the samoyads are wrestling.,samoyads wrestling.,samoyads wrestling,"['samoyads', 'wrestling']",samoyads wrestling,The Samoyads are wrestling,neutral
1462,The boy lost his pacifier.,the boy lost his pacifier.,boy lost pacifier.,boy lost pacifier,"['boy', 'lost', 'pacifier']",boy lost pacifier,The boy lost his pacifier,neutral
1463,A boy is thinking outside.,a boy is thinking outside.,boy thinking outside.,boy thinking outside,"['boy', 'thinking', 'outside']",boy thinking outside,A boy is thinking outside,neutral
1464,The male baseball player belongs to the Cleveland Indians.,the male baseball player belongs to the cleveland indians.,male baseball player belongs cleveland indians.,male baseball player belongs cleveland indians,"['male', 'baseball', 'player', 'belongs', 'cleveland', 'indian']",male baseball player belongs cleveland indian,The male baseball player belongs to the Cleveland Indians,entailment
1465,A soldier using binoculars outside in the heat.,a soldier using binoculars outside in the heat.,soldier using binoculars outside heat.,soldier using binoculars outside heat,"['soldier', 'using', 'binoculars', 'outside', 'heat']",soldier using binoculars outside heat,A soldier using binoculars outside in the heat,entailment
1466,A dog is about to be attacked by a gator.,a dog is about to be attacked by a gator.,dog attacked gator.,dog attacked gator,"['dog', 'attacked', 'gator']",dog attacked gator,A dog is about to be attacked by a gator,neutral
1467,A hot summer by the beach on the walkway.,a hot summer by the beach on the walkway.,hot summer beach walkway.,hot summer beach walkway,"['hot', 'summer', 'beach', 'walkway']",hot summer beach walkway,A hot summer by the beach on the walkway,entailment
1468,a singer wearing a jacker performs on stage,a singer wearing a jacker performs on stage,singer wearing jacker performs stage,singer wearing jacker performs stage,"['singer', 'wearing', 'jacker', 'performs', 'stage']",singer wearing jacker performs stage,a singer wearing a jacker performs on stage,entailment
1469,Nobody is lined up,nobody is lined up,nobody lined,nobody lined,"['nobody', 'lined']",nobody lined,Nobody is lined up,contradiction
1470,An animal bit its owner.,an animal bit its owner.,animal bit owner.,animal bit owner,"['animal', 'bit', 'owner']",animal bit owner,An animal bit its owner,neutral
1471,A man is carrying a bag on his back.,a man is carrying a bag on his back.,man carrying bag back.,man carrying bag back,"['man', 'carrying', 'bag', 'back']",man carrying bag back,A man is carrying a bag on his back,entailment
1472,The log is for firewood.,the log is for firewood.,log firewood.,log firewood,"['log', 'firewood']",log firewood,The log is for firewood,neutral
1473,The men have put out a fire.,the men have put out a fire.,men put fire.,men put fire,"['men', 'put', 'fire']",men put fire,The men have put out a fire,contradiction
1474,Two people holding fencing swords,two people holding fencing swords,two people holding fencing swords,two people holding fencing swords,"['two', 'people', 'holding', 'fencing', 'sword']",two people holding fencing sword,Two people holding fencing swords,entailment
1475,The boy is doing a trick.,the boy is doing a trick.,boy trick.,boy trick,"['boy', 'trick']",boy trick,The boy is doing a trick,neutral
1476,There is a man and a woman.,there is a man and a woman.,man woman.,man woman,"['man', 'woman']",man woman,There is a man and a woman,entailment
1477,They have been swimming.,they have been swimming.,swimming.,swimming,['swimming'],swimming,They have been swimming,neutral
1478,The adult is shopping for a gift.,the adult is shopping for a gift.,adult shopping gift.,adult shopping gift,"['adult', 'shopping', 'gift']",adult shopping gift,The adult is shopping for a gift,entailment
1479,People are shopping for many things at the market.,people are shopping for many things at the market.,people shopping many things market.,people shopping many things market,"['people', 'shopping', 'many', 'thing', 'market']",people shopping many thing market,People are shopping for many things at the market,entailment
1480,The guy is looking for a job.,the guy is looking for a job.,guy looking job.,guy looking job,"['guy', 'looking', 'job']",guy looking job,The guy is looking for a job,neutral
1481,The male is a poet.,the male is a poet.,male poet.,male poet,"['male', 'poet']",male poet,The male is a poet,entailment
1482,Race cars,race cars,race cars,race cars,"['race', 'car']",race car,Race cars,entailment
1483,A family is at the mall,a family is at the mall,family mall,family mall,"['family', 'mall']",family mall,A family is at the mall,neutral
1484,A woman is driving her kids around,a woman is driving her kids around,woman driving kids around,woman driving kids around,"['woman', 'driving', 'kid', 'around']",woman driving kid around,A woman is driving her kids around,contradiction
1485,A woman is with a couple of children,a woman is with a couple of children,woman couple children,woman couple children,"['woman', 'couple', 'child']",woman couple child,A woman is with a couple of children,entailment
1486,Some dogs playing in grass.,some dogs playing in grass.,dogs playing grass.,dogs playing grass,"['dog', 'playing', 'grass']",dog playing grass,Some dogs playing in grass,neutral
1487,The woman had a long day.,the woman had a long day.,woman long day.,woman long day,"['woman', 'long', 'day']",woman long day,The woman had a long day,neutral
1488,Kids are enjoying the cold weather.,kids are enjoying the cold weather.,kids enjoying cold weather.,kids enjoying cold weather,"['kid', 'enjoying', 'cold', 'weather']",kid enjoying cold weather,Kids are enjoying the cold weather,neutral
1489,The woman has been fishing in the ocean,the woman has been fishing in the ocean,woman fishing ocean,woman fishing ocean,"['woman', 'fishing', 'ocean']",woman fishing ocean,The woman has been fishing in the ocean,neutral
1490,The man climbing the rope is escaping a swarm of bed bugs.,the man climbing the rope is escaping a swarm of bed bugs.,man climbing rope escaping swarm bed bugs.,man climbing rope escaping swarm bed bugs,"['man', 'climbing', 'rope', 'escaping', 'swarm', 'bed', 'bug']",man climbing rope escaping swarm bed bug,The man climbing the rope is escaping a swarm of bed bugs,contradiction
1491,The man climbing a rope to get to the top.,the man climbing a rope to get to the top.,man climbing rope get top.,man climbing rope get top,"['man', 'climbing', 'rope', 'get', 'top']",man climbing rope get top,The man climbing a rope to get to the top,neutral
1492,The couple are wearing yellow bandanas.,the couple are wearing yellow bandanas.,couple wearing yellow bandanas.,couple wearing yellow bandanas,"['couple', 'wearing', 'yellow', 'bandana']",couple wearing yellow bandana,The couple are wearing yellow bandanas,contradiction
1493,A girl is sitting in dirty water with a snake's skin in her hands,a girl is sitting in dirty water with a snake's skin in her hands,girl sitting dirty water snake's skin hands,girl sitting dirty water snakes skin hands,"['girl', 'sitting', 'dirty', 'water', 'snake', 'skin', 'hand']",girl sitting dirty water snake skin hand,A girl is sitting in dirty water with a snakes skin in her hands,neutral
1494,A trolley taking people to work and school.,a trolley taking people to work and school.,trolley taking people work school.,trolley taking people work school,"['trolley', 'taking', 'people', 'work', 'school']",trolley taking people work school,A trolley taking people to work and school,neutral
1495,A girl in front of a building.,a girl in front of a building.,girl front building.,girl front building,"['girl', 'front', 'building']",girl front building,A girl in front of a building,entailment
1496,A football game is being played.,a football game is being played.,football game played.,football game played,"['football', 'game', 'played']",football game played,A football game is being played,neutral
1497,Two men are sitting on the restaurant patio.,two men are sitting on the restaurant patio.,two men sitting restaurant patio.,two men sitting restaurant patio,"['two', 'men', 'sitting', 'restaurant', 'patio']",two men sitting restaurant patio,Two men are sitting on the restaurant patio,neutral
1498,The men here will eat a lot of food soon.,the men here will eat a lot of food soon.,men eat lot food soon.,men eat lot food soon,"['men', 'eat', 'lot', 'food', 'soon']",men eat lot food soon,The men here will eat a lot of food soon,neutral
1499,The boy is at the beach.,the boy is at the beach.,boy beach.,boy beach,"['boy', 'beach']",boy beach,The boy is at the beach,entailment
1500,A man and woman ride a mule,a man and woman ride a mule,man woman ride mule,man woman ride mule,"['man', 'woman', 'ride', 'mule']",man woman ride mule,A man and woman ride a mule,entailment
1501,The couple is driving,the couple is driving,couple driving,couple driving,"['couple', 'driving']",couple driving,The couple is driving,contradiction
1502,A painter is doing a watercolor painting.,a painter is doing a watercolor painting.,painter watercolor painting.,painter watercolor painting,"['painter', 'watercolor', 'painting']",painter watercolor painting,A painter is doing a watercolor painting,neutral
1503,the woman is at a ski lodge,the woman is at a ski lodge,woman ski lodge,woman ski lodge,"['woman', 'ski', 'lodge']",woman ski lodge,the woman is at a ski lodge,contradiction
1504,the woman is at a party,the woman is at a party,woman party,woman party,"['woman', 'party']",woman party,the woman is at a party,neutral
1505,A man is carrying a little girl off the ground.,a man is carrying a little girl off the ground.,man carrying little girl ground.,man carrying little girl ground,"['man', 'carrying', 'little', 'girl', 'ground']",man carrying little girl ground,A man is carrying a little girl off the ground,entailment
1506,A man is carrying his daughter above his head.,a man is carrying his daughter above his head.,man carrying daughter head.,man carrying daughter head,"['man', 'carrying', 'daughter', 'head']",man carrying daughter head,A man is carrying his daughter above his head,neutral
1507,A man is playing Monopoly with a little girl.,a man is playing monopoly with a little girl.,man playing monopoly little girl.,man playing monopoly little girl,"['man', 'playing', 'monopoly', 'little', 'girl']",man playing monopoly little girl,A man is playing Monopoly with a little girl,contradiction
1508,A man performs for the public,a man performs for the public,man performs public,man performs public,"['man', 'performs', 'public']",man performs public,A man performs for the public,entailment
1509,Two young men are in a hurry.,two young men are in a hurry.,two young men hurry.,two young men hurry,"['two', 'young', 'men', 'hurry']",two young men hurry,Two young men are in a hurry,entailment
1510,A woman protects her child from the sun as they walk to an upper level of a building.,a woman protects her child from the sun as they walk to an upper level of a building.,woman protects child sun walk upper level building.,woman protects child sun walk upper level building,"['woman', 'protects', 'child', 'sun', 'walk', 'upper', 'level', 'building']",woman protects child sun walk upper level building,A woman protects her child from the sun as they walk to an upper level of a building,entailment
1511,The man with the skateboard is waiting for a plane,the man with the skateboard is waiting for a plane,man skateboard waiting plane,man skateboard waiting plane,"['man', 'skateboard', 'waiting', 'plane']",man skateboard waiting plane,The man with the skateboard is waiting for a plane,neutral
1512,The people are celebrating their father's birthday at a local restaurant.,the people are celebrating their father's birthday at a local restaurant.,people celebrating father's birthday local restaurant.,people celebrating fathers birthday local restaurant,"['people', 'celebrating', 'father', 'birthday', 'local', 'restaurant']",people celebrating father birthday local restaurant,The people are celebrating their fathers birthday at a local restaurant,neutral
1513,Two girls hiding behind a wall.,two girls hiding behind a wall.,two girls hiding behind wall.,two girls hiding behind wall,"['two', 'girl', 'hiding', 'behind', 'wall']",two girl hiding behind wall,Two girls hiding behind a wall,neutral
1514,A man relaxes on a bench,a man relaxes on a bench,man relaxes bench,man relaxes bench,"['man', 'relaxes', 'bench']",man relaxes bench,A man relaxes on a bench,entailment
1515,A person rests on seat,a person rests on seat,person rests seat,person rests seat,"['person', 'rest', 'seat']",person rest seat,A person rests on seat,neutral
1516,A woman in a gray shirt looking onward.,a woman in a gray shirt looking onward.,woman gray shirt looking onward.,woman gray shirt looking onward,"['woman', 'gray', 'shirt', 'looking', 'onward']",woman gray shirt looking onward,A woman in a gray shirt looking onward,neutral
1517,Some kids pass other kids on a street.,some kids pass other kids on a street.,kids pass kids street.,kids pass kids street,"['kid', 'pas', 'kid', 'street']",kid pas kid street,Some kids pass other kids on a street,entailment
1518,A dog is on the beach.,a dog is on the beach.,dog beach.,dog beach,"['dog', 'beach']",dog beach,A dog is on the beach,entailment
1519,The traffic is busy.,the traffic is busy.,traffic busy.,traffic busy,"['traffic', 'busy']",traffic busy,The traffic is busy,neutral
1520,"A woman is standing in high heels, leaning against a wall.","a woman is standing in high heels, leaning against a wall.","woman standing high heels, leaning wall.",woman standing high heels leaning wall,"['woman', 'standing', 'high', 'heel', 'leaning', 'wall']",woman standing high heel leaning wall,A woman is standing in high heels leaning against a wall,contradiction
1521,the man has a pc,the man has a pc,man pc,man pc,"['man', 'pc']",man pc,the man has a pc,contradiction
1522,Two kids happily jiving on the dance floor.,two kids happily jiving on the dance floor.,two kids happily jiving dance floor.,two kids happily jiving dance floor,"['two', 'kid', 'happily', 'jiving', 'dance', 'floor']",two kid happily jiving dance floor,Two kids happily jiving on the dance floor,neutral
1523,Two kids jiving on the dance floor.,two kids jiving on the dance floor.,two kids jiving dance floor.,two kids jiving dance floor,"['two', 'kid', 'jiving', 'dance', 'floor']",two kid jiving dance floor,Two kids jiving on the dance floor,neutral
1524,A person addresses a crowd.,a person addresses a crowd.,person addresses crowd.,person addresses crowd,"['person', 'address', 'crowd']",person address crowd,A person addresses a crowd,entailment
1525,Soccer players play outside.,soccer players play outside.,soccer players play outside.,soccer players play outside,"['soccer', 'player', 'play', 'outside']",soccer player play outside,Soccer players play outside,neutral
